staff_name,url,region,countries
"Adams, Professor David",https://www.gla.ac.uk/schools/socialpolitical/staff/davidadams/,Europe,Georgia
"Ahmad, Dr Sohail",https://www.gla.ac.uk/schools/socialpolitical/staff/sohailahmad/,Europe,Germany
"Ahmad, Dr Sohail",https://www.gla.ac.uk/schools/socialpolitical/staff/sohailahmad/,Latin America,
"Ahmad, Dr Sohail",https://www.gla.ac.uk/schools/socialpolitical/staff/sohailahmad/,North-East Asia,
"Ahmad, Dr Sohail",https://www.gla.ac.uk/schools/socialpolitical/staff/sohailahmad/,South Asia,
"Aliyev, Dr Huseyn",https://www.gla.ac.uk/schools/socialpolitical/staff/huseynaliyev/,Australasia,New Zealand
"Aliyev, Dr Huseyn",https://www.gla.ac.uk/schools/socialpolitical/staff/huseynaliyev/,Europe,Georgia; Moldova; Ukraine
"Aliyev, Dr Huseyn",https://www.gla.ac.uk/schools/socialpolitical/staff/huseynaliyev/,Russia,Russia; Russian Federation
"Anceschi, Professor Luca",https://www.gla.ac.uk/schools/socialpolitical/staff/lucaanceschi/,Europe,
"Anceschi, Professor Luca",https://www.gla.ac.uk/schools/socialpolitical/staff/lucaanceschi/,Russia,Kazakhstan; Turkmenistan; Uzbekistan
"Armstrong, Professor Sarah",https://www.gla.ac.uk/schools/socialpolitical/staff/saraharmstrong/,North America,United States
"Atal, Dr Maha Rafi",https://www.gla.ac.uk/schools/socialpolitical/staff/maharafiatal/,Europe,
"Avsar, Dr Erdem",https://www.gla.ac.uk/schools/socialpolitical/staff/erdemavsar/,Europe,France; Germany; Italy
"Avsar, Dr Erdem",https://www.gla.ac.uk/schools/socialpolitical/staff/erdemavsar/,Middle East,Turkey
"Back, Professor Les",https://www.gla.ac.uk/schools/socialpolitical/staff/lesback/,Australasia,Australia
"Back, Professor Les",https://www.gla.ac.uk/schools/socialpolitical/staff/lesback/,Europe,Austria; Finland; France; Germany; Norway; Portugal; Sweden
"Back, Professor Les",https://www.gla.ac.uk/schools/socialpolitical/staff/lesback/,Latin America,Brazil
"Back, Professor Les",https://www.gla.ac.uk/schools/socialpolitical/staff/lesback/,North-East Asia,Japan
"Banderlipe, Mr McRhon",https://www.gla.ac.uk/schools/socialpolitical/staff/mcronaldibanderlipe/,East Africa,Ethiopia
"Banderlipe, Mr McRhon",https://www.gla.ac.uk/schools/socialpolitical/staff/mcronaldibanderlipe/,North-East Asia,Japan
"Banderlipe, Mr McRhon",https://www.gla.ac.uk/schools/socialpolitical/staff/mcronaldibanderlipe/,Russia,
"Banderlipe, Mr McRhon",https://www.gla.ac.uk/schools/socialpolitical/staff/mcronaldibanderlipe/,South Asia,India; Sri Lanka
"Banderlipe, Mr McRhon",https://www.gla.ac.uk/schools/socialpolitical/staff/mcronaldibanderlipe/,South-East Asia,Philippines; Singapore; Thailand; Vietnam
"Bankov, Dr Petar",https://www.gla.ac.uk/schools/socialpolitical/staff/petarbankov/,Europe,Bulgaria
"Barlow, Dr Matt",https://www.gla.ac.uk/schools/socialpolitical/staff/matthewbarlow/,Europe,
"Barlow, Dr Matt",https://www.gla.ac.uk/schools/socialpolitical/staff/matthewbarlow/,Latin America,Argentina
"Batchelor, Dr Susan",https://www.gla.ac.uk/schools/socialpolitical/staff/susanbatchelor/,Middle East,
"Bayer, Professor Patrick",https://www.gla.ac.uk/schools/socialpolitical/staff/patrickbayer/,Latin America,
"Bell, Professor Karen",https://www.gla.ac.uk/schools/socialpolitical/staff/karenbell/,China,China
"Bell, Professor Karen",https://www.gla.ac.uk/schools/socialpolitical/staff/karenbell/,Europe,Sweden
"Bell, Professor Karen",https://www.gla.ac.uk/schools/socialpolitical/staff/karenbell/,Latin America,Bolivia; Cuba
"Bell, Professor Karen",https://www.gla.ac.uk/schools/socialpolitical/staff/karenbell/,North-East Asia,South Korea
"Benghellab, Dr Karolina",https://www.gla.ac.uk/schools/socialpolitical/staff/karolinaaugustova/,Europe,Bosnia; Czechia; Serbia; Ukraine
"Benghellab, Dr Karolina",https://www.gla.ac.uk/schools/socialpolitical/staff/karolinaaugustova/,Middle East,Lebanon; Turkey
"Benghellab, Dr Karolina",https://www.gla.ac.uk/schools/socialpolitical/staff/karolinaaugustova/,South Asia,Afghanistan
"Berg, Dr Julie",https://www.gla.ac.uk/schools/socialpolitical/staff/julieberg/,Middle East,
"Berg, Dr Julie",https://www.gla.ac.uk/schools/socialpolitical/staff/julieberg/,Southern Africa,South Africa
